step    0 | reward 0.413 | acc 0.312 | pg +0.0056 | kl 4.2918 | loss +0.1773
step    1 | reward 0.600 | acc 0.500 | pg +0.0018 | kl 0.2023 | loss +0.0099
step    2 | reward 0.610 | acc 0.510 | pg -0.0043 | kl 0.1276 | loss +0.0008
step    3 | reward 0.985 | acc 0.885 | pg -0.0046 | kl 0.1110 | loss -0.0002
step    4 | reward 0.850 | acc 0.750 | pg -0.0029 | kl 0.0412 | loss -0.0013
step    5 | reward 0.860 | acc 0.760 | pg +0.0019 | kl 0.2964 | loss +0.0138
step    6 | reward 0.816 | acc 0.719 | pg -0.0020 | kl 0.0836 | loss +0.0013
step    7 | reward 0.819 | acc 0.719 | pg -0.0017 | kl 0.0459 | loss +0.0001
step    8 | reward 0.954 | acc 0.854 | pg -0.0018 | kl 0.0736 | loss +0.0011
step    9 | reward 0.965 | acc 0.865 | pg -0.0014 | kl 0.0727 | loss +0.0015
step   10 | reward 0.901 | acc 0.802 | pg -0.0028 | kl 0.0867 | loss +0.0006
step   11 | reward 0.964 | acc 0.865 | pg -0.0023 | kl 0.1077 | loss +0.0020
step   12 | reward 0.641 | acc 0.542 | pg -0.0000 | kl 0.0793 | loss +0.0032
step   13 | reward 1.027 | acc 0.927 | pg -0.0010 | kl 0.0893 | loss +0.0026
step   14 | reward 0.819 | acc 0.719 | pg -0.0034 | kl 0.1044 | loss +0.0008
step   15 | reward 1.017 | acc 0.917 | pg +0.0006 | kl 0.1025 | loss +0.0047
step   16 | reward 1.037 | acc 0.938 | pg -0.0013 | kl 0.0946 | loss +0.0025
step   17 | reward 0.840 | acc 0.740 | pg -0.0023 | kl 0.0993 | loss +0.0016
step   18 | reward 0.944 | acc 0.844 | pg -0.0011 | kl 0.0721 | loss +0.0018
step   19 | reward 0.954 | acc 0.854 | pg -0.0035 | kl 0.0740 | loss -0.0005
step   20 | reward 1.006 | acc 0.906 | pg -0.0007 | kl 0.0366 | loss +0.0007
step   21 | reward 0.996 | acc 0.896 | pg -0.0003 | kl 0.1182 | loss +0.0044
step   22 | reward 0.933 | acc 0.833 | pg -0.0006 | kl 0.1220 | loss +0.0043
step   23 | reward 0.860 | acc 0.760 | pg -0.0013 | kl 0.1158 | loss +0.0033
step   24 | reward 0.996 | acc 0.896 | pg -0.0010 | kl 0.0503 | loss +0.0010
step   25 | reward 0.933 | acc 0.833 | pg -0.0062 | kl 0.1234 | loss -0.0013
step   26 | reward 0.965 | acc 0.865 | pg -0.0014 | kl 0.1186 | loss +0.0033
step   27 | reward 0.954 | acc 0.854 | pg -0.0006 | kl 0.1199 | loss +0.0042
step   28 | reward 1.017 | acc 0.917 | pg +0.0008 | kl 0.1147 | loss +0.0053
step   29 | reward 0.850 | acc 0.750 | pg -0.0014 | kl 0.1248 | loss +0.0036
step   30 | reward 1.048 | acc 0.948 | pg -0.0010 | kl 0.1007 | loss +0.0031
step   31 | reward 0.912 | acc 0.812 | pg -0.0013 | kl 0.1636 | loss +0.0052
step   32 | reward 0.975 | acc 0.875 | pg -0.0012 | kl 0.0961 | loss +0.0026
step   33 | reward 0.954 | acc 0.854 | pg -0.0009 | kl 0.0938 | loss +0.0028
step   34 | reward 0.871 | acc 0.771 | pg -0.0002 | kl 0.0569 | loss +0.0021
step   35 | reward 0.902 | acc 0.802 | pg -0.0014 | kl 0.0457 | loss +0.0004
step   36 | reward 0.965 | acc 0.865 | pg -0.0009 | kl 0.1213 | loss +0.0039
step   37 | reward 1.006 | acc 0.906 | pg +0.0012 | kl 0.0581 | loss +0.0036
step   38 | reward 1.017 | acc 0.917 | pg -0.0024 | kl 0.1341 | loss +0.0030
step   39 | reward 0.902 | acc 0.802 | pg -0.0008 | kl 0.1491 | loss +0.0052
step   40 | reward 0.965 | acc 0.865 | pg -0.0031 | kl 0.1505 | loss +0.0029
step   41 | reward 1.006 | acc 0.906 | pg -0.0014 | kl 0.1006 | loss +0.0026
step   42 | reward 0.965 | acc 0.865 | pg -0.0014 | kl 0.1574 | loss +0.0049
step   43 | reward 0.683 | acc 0.583 | pg -0.0033 | kl 0.1098 | loss +0.0011
step   44 | reward 0.996 | acc 0.896 | pg -0.0004 | kl 0.1258 | loss +0.0046
step   45 | reward 1.006 | acc 0.906 | pg -0.0012 | kl 0.0992 | loss +0.0028
step   46 | reward 1.079 | acc 0.979 | pg +0.0006 | kl 0.1360 | loss +0.0061
step   47 | reward 0.849 | acc 0.750 | pg +0.0001 | kl 0.1402 | loss +0.0057
step   48 | reward 0.912 | acc 0.812 | pg -0.0013 | kl 0.0849 | loss +0.0021
step   49 | reward 0.975 | acc 0.875 | pg -0.0014 | kl 0.0641 | loss +0.0011
step   50 | reward 0.965 | acc 0.865 | pg -0.0012 | kl 0.0731 | loss +0.0017
step   51 | reward 0.850 | acc 0.750 | pg -0.0008 | kl 0.0727 | loss +0.0021
step   52 | reward 0.850 | acc 0.750 | pg -0.0014 | kl 0.0746 | loss +0.0015
step   53 | reward 0.944 | acc 0.844 | pg -0.0002 | kl 0.0951 | loss +0.0036
step   54 | reward 0.974 | acc 0.875 | pg -0.0026 | kl 0.1576 | loss +0.0037
step   55 | reward 0.953 | acc 0.854 | pg -0.0027 | kl 0.1127 | loss +0.0018
step   56 | reward 0.902 | acc 0.802 | pg -0.0017 | kl 0.0622 | loss +0.0008
step   57 | reward 0.746 | acc 0.646 | pg +0.0005 | kl 0.0976 | loss +0.0044
step   58 | reward 0.923 | acc 0.823 | pg +0.0013 | kl 0.0536 | loss +0.0035
step   59 | reward 0.912 | acc 0.812 | pg -0.0013 | kl 0.0843 | loss +0.0021
step   60 | reward 0.808 | acc 0.708 | pg -0.0005 | kl 0.0339 | loss +0.0008
step   61 | reward 0.860 | acc 0.760 | pg -0.0028 | kl 0.0951 | loss +0.0010
step   62 | reward 0.829 | acc 0.729 | pg -0.0023 | kl 0.0550 | loss -0.0001
step   63 | reward 0.933 | acc 0.833 | pg -0.0010 | kl 0.0374 | loss +0.0005
step   64 | reward 0.798 | acc 0.698 | pg -0.0029 | kl 0.0948 | loss +0.0009
step   65 | reward 0.975 | acc 0.875 | pg -0.0015 | kl 0.1320 | loss +0.0038
step   66 | reward 1.006 | acc 0.906 | pg +0.0001 | kl 0.0709 | loss +0.0030
step   67 | reward 1.017 | acc 0.917 | pg -0.0028 | kl 0.1060 | loss +0.0014
step   68 | reward 1.037 | acc 0.938 | pg +0.0001 | kl 0.0853 | loss +0.0035
step   69 | reward 0.673 | acc 0.573 | pg +0.0007 | kl 0.0435 | loss +0.0025
step   70 | reward 0.923 | acc 0.823 | pg +0.0016 | kl 0.0771 | loss +0.0047
step   71 | reward 0.881 | acc 0.781 | pg +0.0003 | kl 0.1328 | loss +0.0057
step   72 | reward 0.933 | acc 0.833 | pg -0.0006 | kl 0.1288 | loss +0.0046
step   73 | reward 0.996 | acc 0.896 | pg -0.0011 | kl 0.0882 | loss +0.0025
step   74 | reward 1.017 | acc 0.917 | pg -0.0011 | kl 0.1341 | loss +0.0043
step   75 | reward 0.944 | acc 0.844 | pg -0.0003 | kl 0.0680 | loss +0.0024
step   76 | reward 0.881 | acc 0.781 | pg +0.0037 | kl 0.0866 | loss +0.0072
step   77 | reward 0.819 | acc 0.719 | pg -0.0027 | kl 0.1169 | loss +0.0020
step   78 | reward 0.954 | acc 0.854 | pg +0.0007 | kl 0.1225 | loss +0.0056
step   79 | reward 0.996 | acc 0.896 | pg -0.0002 | kl 0.0848 | loss +0.0032
step   80 | reward 0.985 | acc 0.885 | pg -0.0036 | kl 0.0592 | loss -0.0012
step   81 | reward 0.902 | acc 0.802 | pg -0.0031 | kl 0.1619 | loss +0.0034
step   82 | reward 1.006 | acc 0.906 | pg -0.0001 | kl 0.0638 | loss +0.0025
step   83 | reward 0.902 | acc 0.802 | pg -0.0012 | kl 0.0962 | loss +0.0027
step   84 | reward 0.944 | acc 0.844 | pg -0.0007 | kl 0.1091 | loss +0.0037
step   85 | reward 1.006 | acc 0.906 | pg +0.0012 | kl 0.1902 | loss +0.0088
step   86 | reward 0.923 | acc 0.823 | pg -0.0013 | kl 0.1210 | loss +0.0035
step   87 | reward 0.944 | acc 0.844 | pg -0.0012 | kl 0.1158 | loss +0.0035
step   88 | reward 0.996 | acc 0.896 | pg -0.0010 | kl 0.0906 | loss +0.0026
step   89 | reward 0.829 | acc 0.729 | pg -0.0004 | kl 0.1595 | loss +0.0059
step   90 | reward 1.006 | acc 0.906 | pg -0.0008 | kl 0.0717 | loss +0.0021
