params=118.2M  attention=gated  block=2048  micro=16 accum=8 -> 262,144 tok/step  steps=3200
train_tokens=841,431,780  val_tokens=471,605  device=cuda
step     0 | loss 10.5381 | lr 1.50e-06 |   2095ms |  125.1k tok/s | mfu 28.4%
  [eval] step 0 val_loss 10.5279
step    10 | loss 10.0501 | lr 1.65e-05 |   1764ms |  148.6k tok/s | mfu 33.8%
step    20 | loss 9.2668 | lr 3.15e-05 |   1773ms |  147.8k tok/s | mfu 33.6%
step    30 | loss 8.8045 | lr 4.65e-05 |   1776ms |  147.6k tok/s | mfu 33.6%
step    40 | loss 8.4492 | lr 6.15e-05 |   1785ms |  146.9k tok/s | mfu 33.4%
step    50 | loss 8.0090 | lr 7.65e-05 |   1789ms |  146.5k tok/s | mfu 33.3%
step    60 | loss 7.6328 | lr 9.15e-05 |   1793ms |  146.2k tok/s | mfu 33.2%
step    70 | loss 7.4155 | lr 1.07e-04 |   1796ms |  146.0k tok/s | mfu 33.2%
step    80 | loss 7.4503 | lr 1.21e-04 |   1796ms |  146.0k tok/s | mfu 33.2%
step    90 | loss 7.4781 | lr 1.36e-04 |   1800ms |  145.7k tok/s | mfu 33.1%
step   100 | loss 7.3862 | lr 1.51e-04 |   1801ms |  145.5k tok/s | mfu 33.1%
step   110 | loss 7.4875 | lr 1.66e-04 |   1805ms |  145.3k tok/s | mfu 33.0%
step   120 | loss 7.3707 | lr 1.81e-04 |   1803ms |  145.4k tok/s | mfu 33.0%
step   130 | loss 7.4182 | lr 1.96e-04 |   1804ms |  145.3k tok/s | mfu 33.0%
step   140 | loss 7.4165 | lr 2.11e-04 |   1806ms |  145.1k tok/s | mfu 33.0%
step   150 | loss 7.4066 | lr 2.26e-04 |   1807ms |  145.1k tok/s | mfu 33.0%
step   160 | loss 7.4134 | lr 2.41e-04 |   1807ms |  145.0k tok/s | mfu 33.0%
step   170 | loss 7.3876 | lr 2.57e-04 |   1811ms |  144.8k tok/s | mfu 32.9%
step   180 | loss 7.2732 | lr 2.71e-04 |   1815ms |  144.4k tok/s | mfu 32.8%
step   190 | loss 7.3111 | lr 2.86e-04 |   1812ms |  144.6k tok/s | mfu 32.9%
step   200 | loss 7.2404 | lr 3.00e-04 |   1810ms |  144.9k tok/s | mfu 32.9%
step   210 | loss 7.1500 | lr 3.00e-04 |   1812ms |  144.7k tok/s | mfu 32.9%
step   220 | loss 7.0740 | lr 3.00e-04 |   1813ms |  144.6k tok/s | mfu 32.9%
step   230 | loss 7.1152 | lr 3.00e-04 |   1813ms |  144.6k tok/s | mfu 32.9%
step   240 | loss 7.0261 | lr 3.00e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step   250 | loss 6.9565 | lr 3.00e-04 |   1819ms |  144.1k tok/s | mfu 32.8%
  [eval] step 250 val_loss 7.0659
step   260 | loss 6.8641 | lr 3.00e-04 |   1820ms |  144.0k tok/s | mfu 32.7%
step   270 | loss 6.9309 | lr 3.00e-04 |   1821ms |  144.0k tok/s | mfu 32.7%
step   280 | loss 6.7860 | lr 3.00e-04 |   1823ms |  143.8k tok/s | mfu 32.7%
step   290 | loss 6.7011 | lr 2.99e-04 |   1821ms |  143.9k tok/s | mfu 32.7%
step   300 | loss 6.7234 | lr 2.99e-04 |   1824ms |  143.7k tok/s | mfu 32.7%
step   310 | loss 6.6240 | lr 2.99e-04 |   1822ms |  143.9k tok/s | mfu 32.7%
step   320 | loss 6.5179 | lr 2.99e-04 |   1826ms |  143.6k tok/s | mfu 32.6%
step   330 | loss 6.4501 | lr 2.99e-04 |   1825ms |  143.6k tok/s | mfu 32.6%
step   340 | loss 6.3832 | lr 2.99e-04 |   1828ms |  143.4k tok/s | mfu 32.6%
step   350 | loss 6.4586 | lr 2.98e-04 |   1824ms |  143.7k tok/s | mfu 32.7%
step   360 | loss 6.3279 | lr 2.98e-04 |   1829ms |  143.3k tok/s | mfu 32.6%
step   370 | loss 6.2763 | lr 2.98e-04 |   1826ms |  143.6k tok/s | mfu 32.6%
step   380 | loss 6.2715 | lr 2.98e-04 |   1824ms |  143.7k tok/s | mfu 32.7%
step   390 | loss 6.1822 | lr 2.97e-04 |   1826ms |  143.5k tok/s | mfu 32.6%
step   400 | loss 6.3836 | lr 2.97e-04 |   1824ms |  143.7k tok/s | mfu 32.7%
step   410 | loss 6.2969 | lr 2.97e-04 |   1827ms |  143.5k tok/s | mfu 32.6%
step   420 | loss 6.3079 | lr 2.96e-04 |   1824ms |  143.7k tok/s | mfu 32.7%
step   430 | loss 6.1408 | lr 2.96e-04 |   1823ms |  143.8k tok/s | mfu 32.7%
step   440 | loss 6.2354 | lr 2.96e-04 |   1826ms |  143.6k tok/s | mfu 32.6%
step   450 | loss 6.2371 | lr 2.95e-04 |   1823ms |  143.8k tok/s | mfu 32.7%
step   460 | loss 6.2556 | lr 2.95e-04 |   1825ms |  143.6k tok/s | mfu 32.6%
step   470 | loss 6.0787 | lr 2.95e-04 |   1826ms |  143.6k tok/s | mfu 32.6%
step   480 | loss 6.1290 | lr 2.94e-04 |   1824ms |  143.7k tok/s | mfu 32.7%
step   490 | loss 5.9937 | lr 2.94e-04 |   1827ms |  143.5k tok/s | mfu 32.6%
step   500 | loss 5.9718 | lr 2.93e-04 |   1825ms |  143.6k tok/s | mfu 32.6%
  [eval] step 500 val_loss 6.2152
step   510 | loss 6.0721 | lr 2.93e-04 |   1825ms |  143.7k tok/s | mfu 32.6%
step   520 | loss 6.1729 | lr 2.92e-04 |   1825ms |  143.7k tok/s | mfu 32.7%
step   530 | loss 6.0973 | lr 2.92e-04 |   1825ms |  143.6k tok/s | mfu 32.6%
